Precision: 15, Step Size: 128, Epsilon: 2, Iteration: 28, Optimum: 10650
Precision: 15, Step Size: 128, Epsilon: 4, Iteration: 26, Optimum: 10645
Precision: 15, Step Size: 128, Epsilon: 8, Iteration: 24, Optimum: 10636
Precision: 15, Step Size: 128, Epsilon: 16, Iteration: 21, Optimum: 10612
Precision: 15, Step Size: 128, Epsilon: 32, Iteration: 18, Optimum: 10559
Precision: 15, Step Size: 128, Epsilon: 64, Iteration: 15, Optimum: 10451
Precision: 15, Step Size: 256, Epsilon: 1, Iteration: 17, Optimum: 10367
Precision: 15, Step Size: 256, Epsilon: 2, Iteration: 15, Optimum: 10365
Precision: 15, Step Size: 256, Epsilon: 4, Iteration: 14, Optimum: 10363
Precision: 15, Step Size: 256, Epsilon: 8, Iteration: 13, Optimum: 10360
Precision: 15, Step Size: 256, Epsilon: 16, Iteration: 11, Optimum: 10346
Precision: 15, Step Size: 256, Epsilon: 32, Iteration: 10, Optimum: 10332
Precision: 15, Step Size: 256, Epsilon: 64, Iteration: 9, Optimum: 10309
Precision: 15, Step Size: 256, Epsilon: 128, Iteration: 7, Optimum: 10202
Precision: 16, Step Size: 2, Epsilon: 1, Iteration: 2063, Optimum: 22523
Precision: 16, Step Size: 4, Epsilon: 1, Iteration: 1148, Optimum: 22006
Precision: 16, Step Size: 4, Epsilon: 2, Iteration: 893, Optimum: 21497
Precision: 16, Step Size: 8, Epsilon: 1, Iteration: 697, Optimum: 21995
Precision: 16, Step Size: 8, Epsilon: 2, Iteration: 569, Optimum: 21740
Precision: 16, Step Size: 8, Epsilon: 4, Iteration: 487, Optimum: 21493
Precision: 16, Step Size: 16, Epsilon: 1, Iteration: 375, Optimum: 21846
Precision: 16, Step Size: 16, Epsilon: 2, Iteration: 316, Optimum: 21729
Precision: 16, Step Size: 16, Epsilon: 4, Iteration: 281, Optimum: 21595
Precision: 16, Step Size: 16, Epsilon: 8, Iteration: 257, Optimum: 21465
Precision: 16, Step Size: 32, Epsilon: 1, Iteration: 211, Optimum: 21802
Precision: 16, Step Size: 32, Epsilon: 2, Iteration: 180, Optimum: 21741
Precision: 16, Step Size: 32, Epsilon: 4, Iteration: 169, Optimum: 21700
Precision: 16, Step Size: 32, Epsilon: 8, Iteration: 145, Optimum: 21552
Precision: 16, Step Size: 32, Epsilon: 16, Iteration: 125, Optimum: 21314
Precision: 16, Step Size: 64, Epsilon: 1, Iteration: 109, Optimum: 21717
Precision: 16, Step Size: 64, Epsilon: 2, Iteration: 108, Optimum: 21716
Precision: 16, Step Size: 64, Epsilon: 4, Iteration: 99, Optimum: 21689
Precision: 16, Step Size: 64, Epsilon: 8, Iteration: 84, Optimum: 21602
Precision: 16, Step Size: 64, Epsilon: 16, Iteration: 74, Optimum: 21490
Precision: 16, Step Size: 64, Epsilon: 32, Iteration: 62, Optimum: 21225
Precision: 16, Step Size: 128, Epsilon: 1, Iteration: 65, Optimum: 21589
Precision: 16, Step Size: 128, Epsilon: 2, Iteration: 58, Optimum: 21576
Precision: 16, Step Size: 128, Epsilon: 4, Iteration: 53, Optimum: 21561
Precision: 16, Step Size: 128, Epsilon: 8, Iteration: 48, Optimum: 21534
Precision: 16, Step Size: 128, Epsilon: 16, Iteration: 42, Optimum: 21470
Precision: 16, Step Size: 128, Epsilon: 32, Iteration: 36, Optimum: 21339
Precision: 16, Step Size: 128, Epsilon: 64, Iteration: 31, Optimum: 21129
Precision: 16, Step Size: 256, Epsilon: 1, Iteration: 33, Optimum: 21308
Precision: 16, Step Size: 256, Epsilon: 2, Iteration: 32, Optimum: 21307
Precision: 16, Step Size: 256, Epsilon: 4, Iteration: 29, Optimum: 21299
Precision: 16, Step Size: 256, Epsilon: 8, Iteration: 26, Optimum: 21284
Precision: 16, Step Size: 256, Epsilon: 16, Iteration: 24, Optimum: 21267
Precision: 16, Step Size: 256, Epsilon: 32, Iteration: 21, Optimum: 21216
Precision: 16, Step Size: 256, Epsilon: 64, Iteration: 18, Optimum: 21111
Precision: 16, Step Size: 256, Epsilon: 128, Iteration: 15, Optimum: 20892
Precision: 16, Step Size: 512, Epsilon: 1, Iteration: 17, Optimum: 20729
Precision: 16, Step Size: 512, Epsilon: 2, Iteration: 16, Optimum: 20728
Precision: 16, Step Size: 512, Epsilon: 4, Iteration: 15, Optimum: 20726
Precision: 16, Step Size: 512, Epsilon: 8, Iteration: 14, Optimum: 20722
Precision: 16, Step Size: 512, Epsilon: 16, Iteration: 13, Optimum: 20717
Precision: 16, Step Size: 512, Epsilon: 32, Iteration: 11, Optimum: 20689
Precision: 16, Step Size: 512, Epsilon: 64, Iteration: 10, Optimum: 20661
Precision: 16, Step Size: 512, Epsilon: 128, Iteration: 9, Optimum: 20614
Precision: 16, Step Size: 512, Epsilon: 256, Iteration: 7, Optimum: 20401
